company_name,company_domain,careers_url,ats_platform,ats_tenant_or_slug,job_board_url,country_or_region_focus,industry,evidence_url,reason_accepted
Fingerpaint Group,fingerpaint.com,https://jobs.jobvite.com/fingerpaint,Jobvite,fingerpaint,https://jobs.jobvite.com/fingerpaint,US,Healthcare marketing and communications,https://jobs.jobvite.com/fingerpaint,Jobvite career board lists active openings with stable job-specific apply pages
Northwest Kidney Centers,nwkidney.org,https://jobs.jobvite.com/northwest-kidney-centers,Jobvite,northwest-kidney-centers,https://jobs.jobvite.com/northwest-kidney-centers,US,Healthcare nonprofit,https://jobs.jobvite.com/northwest-kidney-centers,Jobvite career board lists active openings with stable job-specific apply pages
Sharp Community Medical Group,scmg.org,https://jobs.jobvite.com/sharpcommunitymedicalgroup,Jobvite,sharpcommunitymedicalgroup,https://jobs.jobvite.com/sharpcommunitymedicalgroup,US,Healthcare,https://jobs.jobvite.com/sharpcommunitymedicalgroup,Jobvite career board lists active openings with stable job-specific apply pages
AccountingDepartment.com,accountingdepartment.com,https://jobs.jobvite.com/accounting-department,Jobvite,accounting-department,https://jobs.jobvite.com/accounting-department,US,Accounting services,https://jobs.jobvite.com/accounting-department,Jobvite career board lists active openings with stable job-specific apply pages
Knight-Swift Transportation,knight-swift.com,https://jobs.jobvite.com/swifttrans,Jobvite,swifttrans,https://jobs.jobvite.com/swifttrans,US,Transportation and logistics,https://jobs.jobvite.com/swifttrans,Jobvite career board lists active openings with stable job-specific apply pages
WebMD,webmd.com,https://jobs.jobvite.com/webmd,Jobvite,webmd,https://jobs.jobvite.com/webmd,Global,Digital health media,https://jobs.jobvite.com/webmd,Jobvite career board lists active openings with stable job-specific apply pages
EZRA,helloezra.com,https://jobs.jobvite.com/ezra,Jobvite,ezra,https://jobs.jobvite.com/ezra,Global,Leadership coaching and HR technology,https://jobs.jobvite.com/ezra,Jobvite career board lists active openings with stable job-specific apply pages
Tixr,tixr.com,https://ats.rippling.com/tixr/jobs,Rippling,tixr,https://ats.rippling.com/tixr/jobs,US,Ticketing and event technology,https://ats.rippling.com/tixr/jobs/1eb4c224-efbc-40a2-ac12-7d9c4669ac6d/apply,Rippling ATS board exposes job-specific detail and apply pages
AbsenceSoft,absencesoft.com,https://ats.rippling.com/absencesoft/jobs,Rippling,absencesoft,https://ats.rippling.com/absencesoft/jobs,US,Leave management software,https://ats.rippling.com/absencesoft/jobs/7ffd030a-7cc0-4009-9ebb-e670bb16e306,Rippling ATS board exposes job-specific detail and apply pages
Revolution Prep,revolutionprep.com,https://ats.rippling.com/revolution-prep-careers/jobs,Rippling,revolution-prep-careers,https://ats.rippling.com/revolution-prep-careers/jobs,US,Education and tutoring,https://ats.rippling.com/revolution-prep-careers/jobs/acc2bf18-aa33-4bb2-ad7b-d1346a9ce2d0c,Rippling ATS board exposes job-specific detail and apply pages
Precision AQ,precisionaq.com,https://boards.greenhouse.io/precisionaq,Greenhouse,precisionaq,https://boards.greenhouse.io/precisionaq,US/Global,Healthcare marketing and market access,https://boards.greenhouse.io/precisionaq/jobs/5997353004,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Fender Musical Instruments,fender.com,https://boards.greenhouse.io/fender,Greenhouse,fender,https://boards.greenhouse.io/fender,US/Global,Musical instruments manufacturing,https://boards.greenhouse.io/fender/jobs/7872615,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Private Health Management,privatehealth.com,https://boards.greenhouse.io/privatehealthmanagement,Greenhouse,privatehealthmanagement,https://boards.greenhouse.io/privatehealthmanagement,US,Healthcare services,https://boards.greenhouse.io/privatehealthmanagement/jobs/5232604008,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Re:Build Manufacturing,rebuildmanufacturing.com,https://boards.greenhouse.io/rebuildmanufacturing,Greenhouse,rebuildmanufacturing,https://boards.greenhouse.io/rebuildmanufacturing,US,Industrial manufacturing,https://boards.greenhouse.io/rebuildmanufacturing/jobs/4566531005,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Renaissance Learning,renaissance.com,https://boards.greenhouse.io/renaissancelearning-nam,Greenhouse,renaissancelearning-nam,https://boards.greenhouse.io/renaissancelearning-nam,US/Global,Education technology,https://boards.greenhouse.io/renaissancelearning-nam/jobs/5228957008,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Movement Strategy,movementstrategy.com,https://boards.greenhouse.io/movementstrategy,Greenhouse,movementstrategy,https://boards.greenhouse.io/movementstrategy,US,Social media marketing agency,https://boards.greenhouse.io/movementstrategy/jobs/5989728004,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Think Academy US,thethinkacademy.com,https://boards.greenhouse.io/thinkacademyus,Greenhouse,thinkacademyus,https://boards.greenhouse.io/thinkacademyus,US,Education technology,https://boards.greenhouse.io/thinkacademyus/jobs/7722072003,Greenhouse board/detail pages expose stable job-specific IDs and application forms
MGAC,mgac.com,https://boards.greenhouse.io/mgac,Greenhouse,mgac,https://boards.greenhouse.io/mgac,US/UK,Construction project management consulting,https://boards.greenhouse.io/mgac/jobs/4255004009,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Evergreen Services Group,evergreensg.com,https://boards.greenhouse.io/evergreenservicesgroup,Greenhouse,evergreenservicesgroup,https://boards.greenhouse.io/evergreenservicesgroup,US,Business services holding company,https://boards.greenhouse.io/evergreenservicesgroup/jobs/4670000005,Greenhouse board/detail pages expose stable job-specific IDs and application forms
Empower Manufacturing,empowermfg.com,https://careers.smartrecruiters.com/EmpowerManufacturing,SmartRecruiters,EmpowerManufacturing,https://careers.smartrecruiters.com/EmpowerManufacturing,US,Manufacturing,https://careers.smartrecruiters.com/EmpowerManufacturing,SmartRecruiters career page lists active roles with job detail URLs
Oetiker,oetiker.com,https://careers.smartrecruiters.com/oetiker,SmartRecruiters,oetiker,https://careers.smartrecruiters.com/oetiker,Global,Industrial manufacturing,https://careers.smartrecruiters.com/oetiker,SmartRecruiters career page lists active roles with job detail URLs
INX International Ink Co.,inxinternational.com,https://careers.smartrecruiters.com/INXInternationalInkCo,SmartRecruiters,INXInternationalInkCo,https://careers.smartrecruiters.com/INXInternationalInkCo,US/Global,Ink and coatings manufacturing,https://careers.smartrecruiters.com/INXInternationalInkCo,SmartRecruiters career page lists active roles with job detail URLs
Ludlow Manufacturing,ludlowmfg.com,https://apply.workable.com/ludlow-manufacturing-inc,Workable,ludlow-manufacturing-inc,https://apply.workable.com/ludlow-manufacturing-inc,US,Metal fabrication manufacturing,https://apply.workable.com/ludlow-manufacturing-inc,Workable board shows current openings with stable job pages
Plitron Manufacturing,plitron.com,https://apply.workable.com/plitron-manufacturing,Workable,plitron-manufacturing,https://apply.workable.com/plitron-manufacturing,Canada,Electrical manufacturing,https://apply.workable.com/plitron-manufacturing,Workable board shows current openings with stable job pages
Phillips Corporation,phillipscorp.com,https://apply.workable.com/phillips-corporation,Workable,phillips-corporation,https://apply.workable.com/phillips-corporation,US/Global,Manufacturing technology,https://apply.workable.com/phillips-corporation,Workable board shows current openings with stable job pages
Mainspring Energy,mainspringenergy.com,https://jobs.lever.co/mainspringenergy,Lever,mainspringenergy,https://jobs.lever.co/mainspringenergy,US/Global,Clean energy hardware,https://jobs.lever.co/mainspringenergy/27dea6da-eb70-471c-b0b2-b6080769e3ca,Lever board exposes job-specific postings with apply flow
Ecosystem,ecosystem-energy.com,https://jobs.lever.co/ecosystem,Lever,ecosystem,https://jobs.lever.co/ecosystem,Canada/US,Energy engineering and construction,https://jobs.lever.co/ecosystem/d9e14838-13d5-4159-a555-294bed523c72,Lever board exposes job-specific postings with apply flow
Smart Energy Group,smartenergy.co,https://jobs.lever.co/smartenergy,Lever,smartenergy,https://jobs.lever.co/smartenergy,Australia,Clean energy,https://jobs.lever.co/smartenergy/01fbf235-f85a-4df3-99fb-d6494ad72a40,Lever board exposes job-specific postings with apply flow
One Mobility,onemobility-group.com,https://onemobility.recruitee.com,Recruitee,onemobility,https://onemobility.recruitee.com,Europe/Global,Automotive manufacturing,https://onemobility.recruitee.com/o/responsable-lean-manufacturing-hf?lang=en,Recruitee board exposes job-specific postings and apply workflow
E&C Group,eecc.eu,https://ecconsultants.recruitee.com,Recruitee,ecconsultants,https://ecconsultants.recruitee.com,Europe/Global,Energy procurement consulting,https://ecconsultants.recruitee.com/o/business-developer,Recruitee board exposes job-specific postings and apply workflow
Petri Electric,petri-electric.com,https://petrielectric.recruitee.com,Recruitee,petrielectric,https://petrielectric.recruitee.com,US,Electrical construction,https://petrielectric.recruitee.com/o/heavy-equipment-operator,Recruitee board exposes job-specific postings and apply workflow
Third Way,thirdway.org,https://thirdway.recruitee.com,Recruitee,thirdway,https://thirdway.recruitee.com,US,Public policy nonprofit,https://thirdway.recruitee.com/o/senior-policy-advisor-electricity,Recruitee board exposes job-specific postings and apply workflow
Fort Garry Industries,fortgarryindustries.com,https://fortgarryindustries.na.teamtailor.com/jobs,Teamtailor,fortgarryindustries.na,https://fortgarryindustries.na.teamtailor.com/jobs,Canada,Transportation parts and service,https://fortgarryindustries.na.teamtailor.com/jobs,Teamtailor board exposes listings and job-specific application pages
Welbeck Health Partners,welbeckhealthpartners.com,https://welbeckhealthpartners.teamtailor.com/jobs,Teamtailor,welbeckhealthpartners,https://welbeckhealthpartners.teamtailor.com/jobs,UK,Healthcare,https://welbeckhealthpartners.teamtailor.com/jobs,Teamtailor board exposes listings and job-specific application pages
Juniper Training,junipertraining.co.uk,https://junipertraining.teamtailor.com/jobs,Teamtailor,junipertraining,https://junipertraining.teamtailor.com/jobs,UK,Education and training,https://junipertraining.teamtailor.com/jobs,Teamtailor board exposes listings and job-specific application pages
Lanterna Education,lanterna.com,https://lanternaeducation.teamtailor.com/jobs,Teamtailor,lanternaeducation,https://lanternaeducation.teamtailor.com/jobs,Europe/Global,Education services,https://lanternaeducation.teamtailor.com/jobs,Teamtailor board exposes listings and job-specific application pages
Berg Propulsion,bergpropulsion.com,https://bergpropulsion.teamtailor.com/jobs,Teamtailor,bergpropulsion,https://bergpropulsion.teamtailor.com/jobs,Europe/Global,Marine propulsion manufacturing,https://bergpropulsion.teamtailor.com/jobs,Teamtailor board exposes listings and job-specific application pages
VEO,veo.fi,https://veo.teamtailor.com/jobs,Teamtailor,veo,https://veo.teamtailor.com/jobs,Europe,Energy automation,https://veo.teamtailor.com/jobs/7622424-project-engineer,Teamtailor board exposes listings and job-specific application pages
Click&Boat,clickandboat.com,https://clickboat.teamtailor.com/jobs,Teamtailor,clickboat,https://clickboat.teamtailor.com/jobs,Europe/Global,Travel marketplace,https://clickboat.teamtailor.com/jobs/7567564-senior-engineering-manager-m-f-nb-cdi-remote,Teamtailor board exposes listings and job-specific application pages
commonsku,commonsku.com,https://commonsku.na.teamtailor.com/jobs,Teamtailor,commonsku.na,https://commonsku.na.teamtailor.com/jobs,Canada/US,Promotional products software,https://commonsku.na.teamtailor.com/jobs/508310-engineering-manager-enterprise-monetization,Teamtailor board exposes listings and job-specific application pages
TradingView,tradingview.com,https://tradingview.teamtailor.com/jobs,Teamtailor,tradingview,https://tradingview.teamtailor.com/jobs,Global,Financial charting software,https://tradingview.teamtailor.com/jobs/7593150-engineering-manager,Teamtailor board exposes listings and job-specific application pages
MCD Global Health,mcd.org,https://mcdglobalhealth.recruitee.com,Recruitee,mcdglobalhealth,https://mcdglobalhealth.recruitee.com,US/Global,Public health nonprofit,https://mcdglobalhealth.recruitee.com/o/associate-manager-emr-specialist-electronic-health-records-ehr-modernization,Recruitee board exposes job-specific postings and apply workflow
veritree,veritree.com,https://apply.workable.com/veritree/,Workable,veritree,https://apply.workable.com/veritree/,Canada/Global,Climate technology,https://apply.workable.com/veritree/,Workable board shows active listings with stable job pages and application flow
Tecknoworks,tecknoworks.com,https://apply.workable.com/tecknoworks/,Workable,tecknoworks,https://apply.workable.com/tecknoworks/,Europe,Software engineering services,https://apply.workable.com/tecknoworks/,Workable board shows active listings with stable job pages and application flow
Entuitive,entuitive.com,https://apply.workable.com/entuitive/,Workable,entuitive,https://apply.workable.com/entuitive/,Canada/US,Structural engineering consulting,https://apply.workable.com/entuitive/,Workable board shows active listings with stable job pages and application flow
Treatwell,treatwell.com,https://apply.workable.com/treatwell/,Workable,treatwell,https://apply.workable.com/treatwell/,Europe,Beauty and wellness marketplace,https://apply.workable.com/treatwell/,Workable board shows active listings with stable job pages and application flow
NAFFCO,naffco.com,https://naffco.teamtailor.com/jobs,Teamtailor,naffco,https://naffco.teamtailor.com/jobs,MENA/APAC/US,Fire safety and industrial manufacturing,https://naffco.teamtailor.com/jobs,Teamtailor board exposes active listings with stable job detail and application pages
Electrify,electrify.video,https://electrify.teamtailor.com/jobs,Teamtailor,electrify,https://electrify.teamtailor.com/jobs,Global/Remote,Digital media and education content,https://electrify.teamtailor.com/jobs,Teamtailor board exposes active listings with stable job detail and application pages
TAPI,tapi.com,https://careers.smartrecruiters.com/TAPI,SmartRecruiters,TAPI,https://careers.smartrecruiters.com/TAPI,Global,Pharmaceutical ingredients,https://careers.smartrecruiters.com/TAPI,SmartRecruiters career page lists active roles with job-specific detail pages
AMBOSS,amboss.com,https://jobs.ashbyhq.com/amboss,Ashby,amboss,https://jobs.ashbyhq.com/amboss,Global/Europe,Medical education software,https://jobs.ashbyhq.com/amboss,Ashby board exposes active job-specific detail pages and application flow
FacilityOS,facilityos.com,https://jobs.ashbyhq.com/facilityos,Ashby,facilityos,https://jobs.ashbyhq.com/facilityos,Canada,Facilities software,https://jobs.ashbyhq.com/facilityos,Ashby board exposes active job-specific detail pages and application flow
Hostinger,hostinger.com,https://jobs.ashbyhq.com/hostinger,Ashby,hostinger,https://jobs.ashbyhq.com/hostinger,Global,Web hosting,https://jobs.ashbyhq.com/hostinger,Ashby board exposes active job-specific detail pages and application flow
Neural Concept,neuralconcept.com,https://jobs.ashbyhq.com/neuralconcept,Ashby,neuralconcept,https://jobs.ashbyhq.com/neuralconcept,Europe/US,Engineering AI software,https://jobs.ashbyhq.com/neuralconcept,Ashby board exposes active job-specific detail pages and application flow
Sift Healthcare,sifthealthcare.com,https://job-boards.greenhouse.io/sifthealthcare,Greenhouse,sifthealthcare,https://job-boards.greenhouse.io/sifthealthcare,US,Healthcare analytics,https://job-boards.greenhouse.io/sifthealthcare,Greenhouse board exposes active job-specific pages with application workflow
Elevate K-12,elevatek12.com,https://job-boards.greenhouse.io/elevatek12teachwithus,Greenhouse,elevatek12teachwithus,https://job-boards.greenhouse.io/elevatek12teachwithus,US,Online education,https://job-boards.greenhouse.io/elevatek12teachwithus,Greenhouse board exposes active job-specific pages with application workflow
Momentum Life Sciences,momentumlifesciences.com,https://job-boards.greenhouse.io/momentumlifesciences,Greenhouse,momentumlifesciences,https://job-boards.greenhouse.io/momentumlifesciences,US,Life sciences services,https://job-boards.greenhouse.io/momentumlifesciences,Greenhouse board exposes active job-specific pages with application workflow
Take Command Health,takecommandhealth.com,https://job-boards.greenhouse.io/takecommandhealth,Greenhouse,takecommandhealth,https://job-boards.greenhouse.io/takecommandhealth,US,Health benefits technology,https://job-boards.greenhouse.io/takecommandhealth,Greenhouse board exposes active job-specific pages with application workflow
PLS,pls247.com,https://job-boards.greenhouse.io/plscareers,Greenhouse,plscareers,https://job-boards.greenhouse.io/plscareers,US,Retail financial services,https://job-boards.greenhouse.io/plscareers,Greenhouse board exposes active job-specific pages with application workflow
Kincell Bio,kincellbio.com,https://job-boards.greenhouse.io/kincellbio,Greenhouse,kincellbio,https://job-boards.greenhouse.io/kincellbio,US,Biotechnology manufacturing,https://job-boards.greenhouse.io/kincellbio,Greenhouse board exposes active job-specific pages with application workflow
MedElite Group,medelitegrp.com,https://job-boards.greenhouse.io/medelitellc,Greenhouse,medelitellc,https://job-boards.greenhouse.io/medelitellc,US,Senior care healthcare,https://job-boards.greenhouse.io/medelitellc,Greenhouse board exposes active job-specific pages with application workflow
Salient Motion,salientmotion.com,https://job-boards.greenhouse.io/salientmotion,Greenhouse,salientmotion,https://job-boards.greenhouse.io/salientmotion,US,Aerospace and robotics engineering,https://job-boards.greenhouse.io/salientmotion,Greenhouse board exposes active job-specific pages with application workflow
Broadway Ventures,broadwayventures.com,https://job-boards.greenhouse.io/broadwayventures,Greenhouse,broadwayventures,https://job-boards.greenhouse.io/broadwayventures,US,Healthcare and government services,https://job-boards.greenhouse.io/broadwayventures,Greenhouse board exposes active job-specific pages with application workflow
Immiland Canada,immilandcanada.com,https://jobs.lever.co/immiland-canada-inc,Lever,immiland-canada-inc,https://jobs.lever.co/immiland-canada-inc,Canada/LATAM,Immigration education services,https://jobs.lever.co/immiland-canada-inc,Lever board exposes active job-specific postings with apply flow
Rezolute,rezolutebio.com,https://jobs.lever.co/rezolutebio,Lever,rezolutebio,https://jobs.lever.co/rezolutebio,US,Biotechnology,https://jobs.lever.co/rezolutebio,Lever board exposes active job-specific postings with apply flow
Beauty Barrage,beautybarrage.com,https://jobs.lever.co/beautybarrage,Lever,beautybarrage,https://jobs.lever.co/beautybarrage,US/Canada,Beauty retail services,https://jobs.lever.co/beautybarrage,Lever board exposes active job-specific postings with apply flow
Zeeco,zeeco.com,https://jobs.lever.co/zeeco,Lever,zeeco,https://jobs.lever.co/zeeco,Global,Combustion and environmental systems,https://jobs.lever.co/zeeco,Lever board exposes active job-specific postings with apply flow
Create Music Group,createmusicgroup.com,https://ats.rippling.com/createmusicgroup/jobs,Rippling,createmusicgroup,https://ats.rippling.com/createmusicgroup/jobs,US/Canada,Music technology and rights management,https://ats.rippling.com/createmusicgroup/jobs,Rippling ATS board exposes job-specific detail and apply pages
TalentNeuron,talentneuron.com,https://ats.rippling.com/talentneuroncareers/jobs,Rippling,talentneuroncareers,https://ats.rippling.com/talentneuroncareers/jobs,Global,Labor market analytics,https://ats.rippling.com/talentneuroncareers/jobs,Rippling ATS board exposes job-specific detail and apply pages
Topicflow,topicflow.com,https://ats.rippling.com/topicflow/jobs,Rippling,topicflow,https://ats.rippling.com/topicflow/jobs,Canada,Performance management software,https://ats.rippling.com/topicflow/jobs,Rippling ATS board exposes job-specific detail and apply pages
Plenful,plenful.com,https://ats.rippling.com/plenful/jobs,Rippling,plenful,https://ats.rippling.com/plenful/jobs,US,Healthcare AI software,https://ats.rippling.com/plenful/jobs,Rippling ATS board exposes job-specific detail and apply pages
SheerID,sheerid.com,https://ats.rippling.com/sheerid/jobs,Rippling,sheerid,https://ats.rippling.com/sheerid/jobs,US,Identity verification software,https://ats.rippling.com/sheerid/jobs,Rippling ATS board exposes job-specific detail and apply pages
